,block,case_number,date,longitude,primary_type,year,zip
1028,066XX S LAFLIN ST,HW319503,2013-06-15 05:00:00,-87.661608159,BATTERY,2013,60636
1029,077XX S JEFFERY BLVD,HW319438,2013-06-15 03:30:00,-87.576045629,ARSON,2013,60649
1030,013XX E 89TH ST,HW321221,2013-06-16 12:15:00,-87.591348068,ASSAULT,2013,60619
1031,011XX S MOZART ST,HW322362,2013-06-17 02:30:00,-87.6971543,BATTERY,2013,60612
1032,071XX S DREXEL AVE,HW324988,2013-06-18 17:15:00,-87.60310295,BATTERY,2013,60619
1033,004XX W MELROSE ST,HW325213,2013-06-18 15:00:00,-87.640484313,THEFT,2013,60657
1034,045XX S ST LOUIS AVE,HW327572,2013-06-20 15:15:00,-87.7112475,BATTERY,2013,60632
1035,090XX S WESTERN AVE,HW328076,2013-06-20 14:55:00,-87.682326711,THEFT,2013,
1036,017XX N CLARK ST,HW328123,2013-06-15 14:00:00,-87.633396724,THEFT,2013,60614
1037,031XX N BROADWAY,HW328832,2013-06-21 11:35:00,-87.644358344,THEFT,2013,60657
1038,013XX W ADDISON ST,HW329350,2013-06-20 20:00:00,-87.66207156,THEFT,2013,60657
1039,030XX N CLARK ST,HW333967,2013-06-25 00:45:00,-87.648132335,BATTERY,2013,60657
1040,039XX W JACKSON BLVD,HW334096,2013-06-25 05:23:00,-87.723714312,ARSON,2013,60624
1041,003XX E 131ST PL,HW335695,2013-06-25 17:30:00,-87.614159613,ASSAULT,2013,60827
1042,002XX N HAMLIN BLVD,HW336255,2013-06-25 14:00:00,-87.72087861,THEFT,2013,60624
1043,020XX W 69TH PL,HW337065,2013-06-27 01:33:00,-87.67490725,BATTERY,2013,60636
1044,017XX W HOWARD ST,HW338383,2013-06-27 21:37:00,-87.675049485,THEFT,2013,
1045,034XX N BROADWAY,HW338694,2013-06-28 05:00:00,-87.645430882,ROBBERY,2013,60657
1046,026XX W 86TH PL,HW338971,2013-06-28 09:00:00,-87.688914725,ASSAULT,2013,60652
1047,104XX S EWING AVE,HW339642,2013-06-28 18:12:00,-87.535286373,BATTERY,2013,60617
1048,009XX W 66TH ST,HW339834,2013-06-28 20:50:00,-87.64737605,ASSAULT,2013,60621
1049,022XX N LEAMINGTON AVE,HW339896,2013-06-28 19:30:00,-87.75482409,BATTERY,2013,60639
1050,014XX N KARLOV AVE,HW340904,2013-06-29 16:05:00,-87.728861037,BATTERY,2013,60651
1051,104XX S AVENUE E,HW341892,2013-06-29 19:00:00,-87.529244933,THEFT,2013,60617
1052,003XX N LA SALLE DR,HW344469,2013-07-01 20:00:00,-87.632512191,THEFT,2013,60654
1053,066XX S WESTERN AVE,HW344859,2013-07-02 12:45:00,-87.683468276,ASSAULT,2013,60629
1054,010XX W IRVING PARK RD,HW348312,2013-07-04 19:00:00,-87.656682073,THEFT,2013,60613
1055,038XX S WELLS ST,HW349644,2013-07-05 14:00:00,-87.632685399,THEFT,2013,60609
1056,057XX W GRAND AVE,HW352805,2013-07-08 04:00:00,-87.768551783,BATTERY,2013,60639
1057,080XX S CICERO AVE,HW353797,2013-07-08 19:00:00,-87.741260209,THEFT,2013,
1058,016XX S ST LOUIS AVE,HW355723,2013-07-09 23:00:00,-87.71275698,BATTERY,2013,60623
1059,012XX W VICTORIA ST,HW356236,2013-06-27 20:00:00,-87.662621685,THEFT,2013,60660
1060,041XX N DAMEN AVE,HW356383,2013-06-30 15:00:00,-87.678848106,THEFT,2013,60618
1061,036XX N CLARK ST,HW357225,2013-07-11 03:45:00,-87.65759375,BATTERY,2013,60613
1062,029XX W 87TH ST,HW357668,2013-07-09 17:00:00,-87.695768531,THEFT,2013,
1065,017XX W HOWARD ST,HW359847,2013-07-12 20:10:00,-87.675049485,THEFT,2013,
1067,042XX N MARMORA AVE,HW364884,2013-07-12 21:00:00,-87.77447363,THEFT,2013,60634
1068,063XX W NORTH AVE,HW365441,2013-07-16 16:50:00,-87.783953077,ASSAULT,2013,
1069,015XX S WABASH AVE,HW365437,2013-07-16 17:50:00,-87.625690175,ASSAULT,2013,60605
1070,010XX N DRAKE AVE,HW365925,2013-07-17 00:15:00,-87.715228638,BATTERY,2013,60651
1071,035XX W 61ST ST,HW369124,2013-07-18 21:00:00,-87.71130566,ASSAULT,2013,60629
1072,047XX S KEDZIE AVE,HW369648,2013-07-19 14:15:00,-87.703963414,BATTERY,2013,60632
1073,048XX N FRANCISCO AVE,HW370134,2013-07-18 17:00:00,-87.700488807,BATTERY,2013,60625
1074,002XX N LAFLIN ST,HW370601,2013-07-20 04:00:00,-87.664294079,BATTERY,2013,60607
1075,031XX S KEDVALE AVE,HW372094,2013-07-21 06:40:00,-87.727988133,BATTERY,2013,60623
1076,053XX N ELSTON AVE,HW369594,2013-07-18 17:00:00,-87.75708711,THEFT,2013,60630
1077,034XX N CLARK ST,HW373983,2013-07-21 03:00:00,-87.654803648,THEFT,2013,60657
1078,019XX W MELROSE ST,HW374585,2013-07-22 20:14:00,-87.677181158,BATTERY,2013,60657
1079,061XX N SHERIDAN RD,HW375873,2013-07-23 16:00:00,-87.655497959,ASSAULT,2013,60660
1080,009XX N LONG AVE,HW376310,2013-07-23 23:00:00,-87.760749736,ASSAULT,2013,60651
1081,007XX W 17TH ST,HW376429,2013-07-23 16:00:00,-87.64551492,BURGLARY,2013,60616
1082,031XX S EMERALD AVE,HW376793,2013-07-13 17:00:00,-87.645044426,THEFT,2013,60616
1083,052XX W GRAND AVE,HW377090,2013-07-24 13:00:00,-87.75834295,ASSAULT,2013,60639
1084,054XX S CENTRAL AVE,HW377705,2013-07-24 01:00:00,-87.762340972,BATTERY,2013,60638
1085,065XX N RICHMOND ST,HW377927,2013-07-25 01:55:00,-87.703370121,BATTERY,2013,60645
1086,037XX W 58TH ST,HW378199,2013-07-24 14:30:00,-87.716647685,BATTERY,2013,60629
1088,007XX N LA SALLE DR,HW378484,2013-07-25 13:29:00,-87.632686147,BATTERY,2013,60654
1089,020XX W ESTES AVE,HW379428,2013-07-26 03:30:00,-87.681532021,THEFT,2013,60645
1090,013XX S WASHTENAW AVE,HW379695,2013-07-25 19:00:00,-87.693346684,ASSAULT,2013,60608
1091,034XX W 84TH PL,HW380532,2013-07-26 18:40:00,-87.708241979,BATTERY,2013,60652
1092,042XX S LAKE PARK AVE,HW381092,2013-07-27 02:30:00,-87.599571629,BATTERY,2013,60653
1093,109XX S WASHTENAW AVE,HW381350,2013-07-25 18:00:00,-87.688640052,THEFT,2013,60655
1095,043XX W CRYSTAL ST,HW381845,2013-07-27 07:00:00,-87.735024253,THEFT,2013,60651
1096,001XX W 104TH ST,HW382221,2013-07-27 14:15:00,-87.626876504,THEFT,2013,60628
1097,046XX N KILDARE AVE,HW383343,2013-07-28 08:30:00,-87.735764201,THEFT,2013,60630
1098,023XX W HOWARD ST,HW383396,2013-07-28 21:30:00,-87.689521977,ROBBERY,2013,
1099,042XX W 55TH ST,HW384380,2013-07-29 14:00:00,-87.729820618,ASSAULT,2013,60629
1100,005XX S STATE ST,HW384383,2013-07-12 21:58:00,-87.627621989,THEFT,2013,60605
1101,012XX N WOOD ST,HW386153,2013-07-30 19:45:00,-87.672422446,BURGLARY,2013,60622
1102,016XX N KEELER AVE,HW388943,2013-08-01 11:00:00,-87.73124178,THEFT,2013,60639
1103,085XX S BENNETT AVE,HW389131,2013-08-01 20:40:00,-87.57820179,ASSAULT,2013,60617
1104,031XX N CLARK ST,HW390939,2013-08-03 01:15:00,-87.650385064,THEFT,2013,60657
1105,017XX W HOWARD ST,HW391155,2013-08-03 06:23:00,-87.675049485,THEFT,2013,
1106,013XX S HOMAN AVE,HW391193,2013-08-03 01:00:00,-87.71046084,THEFT,2013,60623
1107,030XX E 79TH ST,HW391510,2013-08-03 13:00:00,-87.55123396,BATTERY,2013,60617
1108,009XX E 132ND ST,HW392099,2013-08-03 20:50:00,-87.598865792,BATTERY,2013,60827
1109,012XX N CLEAVER ST,HW393822,2013-08-04 23:30:00,-87.663846189,THEFT,2013,60642
1110,046XX N LAMON AVE,HW394039,2013-08-02 14:30:00,-87.750124265,THEFT,2013,60630
1111,016XX S PRAIRIE AVE,HW395754,2013-08-06 12:15:00,-87.620815406,ASSAULT,2013,60616
1112,008XX E 79TH ST,HW396709,2013-08-07 00:25:00,-87.603665552,ASSAULT,2013,60619
1113,004XX S WELLS ST,HW397432,2013-08-07 14:30:00,-87.63367745,THEFT,2013,60605
1114,066XX S FRANCISCO AVE,HW397875,2013-08-07 18:30:00,-87.6956748,ASSAULT,2013,60629
1116,067XX S ROCKWELL ST,HW392961,2013-08-03 19:00:00,-87.68831724,ROBBERY,2013,60629
1117,036XX N CLARK ST,HW402514,2013-08-11 00:02:00,-87.65710387,BATTERY,2013,60613
1118,006XX E PERSHING RD,HW407918,2013-08-14 17:30:00,-87.611360956,THEFT,2013,60653
1119,029XX W MADISON ST,HW408521,2013-08-13 10:00:00,-87.699348928,THEFT,2013,60612
1120,024XX W 59TH ST,HW409165,2013-08-15 16:55:00,-87.684418415,ASSAULT,2013,60629
1121,079XX S STATE ST,HW412625,2013-08-18 04:55:00,-87.624538423,BATTERY,2013,60619
1122,002XX W DIVISION ST,HW413026,2013-08-18 12:15:00,-87.635561788,THEFT,2013,60610
1123,001XX E WALTON ST,HW413185,2013-08-18 11:00:00,-87.62305924,THEFT,2013,60611
1125,008XX W BELMONT AVE,HW413844,2013-08-13 05:30:00,-87.650917732,THEFT,2013,60657
1126,067XX S ABERDEEN ST,HW415169,2013-08-19 22:10:00,-87.651869687,THEFT,2013,60621
1127,002XX W HUBBARD ST,HW417506,2013-08-21 14:45:00,-87.634574144,THEFT,2013,60654
1129,024XX E 75TH ST,HW419034,2013-08-22 15:51:00,-87.563682751,BATTERY,2013,60649
1130,056XX W CHICAGO AVE,HW415944,2013-08-20 14:15:00,-87.76601592,BATTERY,2013,60651
1131,008XX W CORNELIA AVE,HW421236,2013-08-24 02:00:00,-87.65105034,THEFT,2013,60657
1132,037XX W HURON ST,HW360597,2013-07-13 12:12:00,-87.719003201,BATTERY,2013,60624
1134,031XX W ARTHINGTON ST,HW425017,2013-08-26 19:00:00,-87.70443239,BATTERY,2013,60612
1135,001XX N WALLER AVE,HW426843,2013-08-28 02:17:00,-87.76821448,BATTERY,2013,60644
1136,008XX N RUSH ST,HW432052,2013-08-31 14:00:00,-87.62570147,THEFT,2013,60611
1137,005XX W SURF ST,HW429217,2013-08-29 14:45:00,-87.641484982,BATTERY,2013,60657
1138,005XX N LEAMINGTON AVE,HW432295,2013-08-31 18:30:00,-87.754190203,BATTERY,2013,60644
1139,005XX E 88TH PL,HW432914,2013-09-01 10:50:00,-87.611026149,BATTERY,2013,60619
1140,008XX W WELLINGTON AVE,HW433289,2013-09-01 16:15:00,-87.649960168,BATTERY,2013,60657
1141,127XX S LOWE AVE,HW435577,2013-09-03 09:00:00,-87.637814561,BATTERY,2013,60628
1142,031XX W POLK ST,HW437667,2013-09-01 16:00:00,-87.704361047,BATTERY,2013,60612
1143,006XX N STATE ST,HW439713,2013-09-05 09:00:00,-87.628106353,THEFT,2013,60611
1144,033XX N CLARK ST,HW441094,2013-09-07 00:10:00,-87.653189333,BATTERY,2013,60657
1145,064XX N TALMAN AVE,HW440955,2013-09-06 22:30:00,-87.69600517,THEFT,2013,60645
1146,005XX E 43RD ST,HW441252,2013-09-07 06:45:00,-87.613606382,ASSAULT,2013,60653
1147,052XX S MICHIGAN AVE,HW442827,2013-09-08 10:50:00,-87.62257371,ROBBERY,2013,60615
1148,005XX N LA SALLE DR,HW441226,2013-09-07 02:30:00,-87.632564987,THEFT,2013,60654
1149,072XX S LUELLA AVE,HW439705,2013-09-06 06:18:00,-87.570108866,THEFT,2013,60649
1150,003XX N PINE AVE,HW445935,2013-09-07 21:00:00,-87.763416552,THEFT,2013,60644
1151,051XX W LAKE ST,HW446760,2013-09-11 03:10:00,-87.754255061,BATTERY,2013,60644
1152,009XX W 116TH PL,HW451517,2013-09-14 11:30:00,-87.646200374,BATTERY,2013,60643
1153,023XX S WENTWORTH AVE,HW456849,2013-09-18 11:25:00,-87.631943164,THEFT,2013,60616
1155,013XX W 76TH ST,HW459007,2013-09-19 19:30:00,-87.65709614,BURGLARY,2013,60620
1156,070XX S BENNETT AVE,HW459341,2013-09-19 22:00:00,-87.57876851,THEFT,2013,60649
1157,013XX W BELMONT AVE,HW459825,2013-09-20 14:10:00,-87.662365104,THEFT,2013,60657
1159,025XX W 63RD ST,HW462887,2013-09-22 18:35:00,-87.68639517,BATTERY,2013,60629
1160,043XX N SPAULDING AVE,HW463419,2013-09-23 00:00:00,-87.710676377,THEFT,2013,60618
1161,079XX S KEDZIE AVE,HW463836,2013-09-22 10:30:00,-87.70236927,THEFT,2013,60652
1162,048XX W RICE ST,HW463900,2013-09-23 15:38:00,-87.746693531,BATTERY,2013,60651
1164,032XX N HALSTED ST,HW464592,2013-09-23 23:30:00,-87.649308375,THEFT,2013,60657
1165,057XX N ROCKWELL ST,HW464641,2013-09-23 21:00:00,-87.694374614,THEFT,2013,60659
1167,051XX S DAMEN AVE,HW470192,2013-09-27 20:00:00,-87.674497234,BATTERY,2013,60609
1168,036XX S WELLS ST,HW472738,2013-09-29 10:40:00,-87.632658693,THEFT,2013,60609
1169,024XX N LUNA AVE,HW473342,2013-09-21 21:50:00,-87.764790972,ASSAULT,2013,60639
1170,090XX S BISHOP ST,HW473387,2013-09-29 23:00:00,-87.659245,THEFT,2013,60620
1171,020XX W JARVIS AVE,HW473384,2013-09-30 10:30:00,-87.680870937,BATTERY,2013,60645
1172,116XX S JUSTINE ST,HW473700,2013-09-29 20:00:00,-87.660307801,THEFT,2013,60643
1173,072XX N HARLEM AVE,HW473849,2013-09-30 14:00:00,-87.806632113,ASSAULT,2013,
1174,014XX S LOOMIS ST,HW474267,2013-09-30 19:55:00,-87.661463799,ASSAULT,2013,60608
1175,019XX N LECLAIRE AVE,HW464359,2013-09-09 19:45:00,-87.752878942,BATTERY,2013,60639
1176,044XX W 87TH ST,HW475571,2013-09-06 12:00:00,-87.73179004,THEFT,2013,
1177,012XX N AUSTIN BLVD,HW476203,2013-10-02 07:45:00,-87.775378157,THEFT,2013,
1178,004XX S WELLS ST,HW476734,2013-10-02 13:30:00,-87.633682279,THEFT,2013,60605
1179,057XX S EMERALD AVE,HW477031,2013-10-01 19:30:00,-87.64383228,THEFT,2013,60621
1180,053XX N BROADWAY,HW476942,2013-10-02 17:02:00,-87.659941972,ROBBERY,2013,60640
1181,025XX N KIMBALL AVE,HW476585,2013-10-02 12:50:00,-87.712171345,BATTERY,2013,60647
1182,031XX W DEVON AVE,HW477600,2013-09-11 18:00:00,-87.70750627,THEFT,2013,60645
1183,022XX S OAKLEY AVE,HW482078,2013-10-06 12:45:00,-87.68318274,THEFT,2013,60608
1184,010XX W 32ND PL,HW482756,2013-10-07 02:00:00,-87.651638411,BATTERY,2013,60608
1185,002XX S CLARK ST,HW483310,2013-10-07 13:00:00,-87.630805682,THEFT,2013,60604
1186,002XX W ADAMS ST,HW486287,2013-10-09 09:00:00,-87.634289354,THEFT,2013,60606
1187,124XX S UNION AVE,HW487138,2013-10-09 01:00:00,-87.639175664,ASSAULT,2013,60628
1188,043XX S CALUMET AVE,HW487572,2013-10-10 06:25:00,-87.618337289,THEFT,2013,60653
1189,007XX W 82ND ST,HW488837,2013-10-11 13:00:00,-87.643112014,ASSAULT,2013,60620
1190,064XX S DORCHESTER AVE,HW489464,2013-10-09 15:00:00,-87.59144716,THEFT,2013,60637
1191,071XX S CLYDE AVE,HW490293,2013-10-12 13:30:00,-87.57385334,ASSAULT,2013,60649
1192,003XX S HALSTED ST,HW491498,2013-10-12 10:00:00,-87.647230943,THEFT,2013,60607
1193,039XX W MADISON ST,HW491776,2013-10-13 18:30:00,-87.72506426,THEFT,2013,60624
1194,010XX W NORTH AVE,HW492201,2013-10-13 17:00:00,-87.654560398,BURGLARY,2013,60614
1195,009XX W CUYLER AVE,HW492920,2013-10-14 06:20:00,-87.653322448,ASSAULT,2013,60613
1196,033XX W BEACH AVE,HW494100,2013-10-14 11:00:00,-87.710341283,ASSAULT,2013,60651
1197,038XX W WILCOX ST,HW497465,2013-10-18 08:37:00,-87.721861126,BATTERY,2013,60624
1198,131XX S ELLIS AVE,HW497540,2013-10-17 15:15:00,-87.59768703,BATTERY,2013,60827
1199,008XX N FRANKLIN ST,HW498513,2013-10-18 23:00:00,-87.635752118,THEFT,2013,60610
1200,006XX W BELMONT AVE,HW498507,2013-10-18 23:44:00,-87.645010397,THEFT,2013,60657
1201,001XX E PERSHING RD,HW498886,2013-10-19 10:13:00,-87.622633324,ASSAULT,2013,60653
1202,0000X W KINZIE ST,HW499865,2013-10-20 02:38:00,-87.628415777,BATTERY,2013,60654
1203,011XX N KARLOV AVE,HW501180,2013-10-20 04:00:00,-87.728722781,BATTERY,2013,60651
1204,063XX N GREENVIEW AVE,HW501676,2013-10-18 18:30:00,-87.667802252,THEFT,2013,60660
1205,094XX S EWING AVE,HW504551,2013-10-23 16:15:00,-87.537338729,ASSAULT,2013,60617
1206,030XX E 79TH ST,HW504633,2013-10-23 15:40:00,-87.551153308,ASSAULT,2013,60617
1207,017XX W HOWARD ST,HW507888,2013-10-26 09:33:00,-87.675049485,THEFT,2013,
1209,010XX W BELMONT AVE,HW508924,2013-10-27 04:43:00,-87.654626945,BATTERY,2013,60657
1210,003XX W CHICAGO AVE,HW509092,2013-10-27 10:20:00,-87.636063322,THEFT,2013,60610
1211,012XX N AUSTIN BLVD,HW510333,2013-10-28 11:30:00,-87.775392653,BURGLARY,2013,
1212,109XX S STATE ST,HW510919,2013-10-28 15:20:00,-87.62319484,BATTERY,2013,60628
1213,018XX W HOWARD ST,HW512610,2013-10-29 12:15:00,-87.677124936,THEFT,2013,
1214,035XX S MICHIGAN AVE,HW516923,2013-10-24 15:30:00,-87.623247369,THEFT,2013,60653
1215,045XX N BERNARD ST,HW517917,2013-10-29 09:00:00,-87.714460031,THEFT,2013,60625
1216,048XX S LAWLER AVE,HW518744,2013-11-02 20:00:00,-87.749194257,THEFT,2013,60638
1217,029XX W FULTON ST,HW519275,2013-11-03 16:20:00,-87.699838571,BATTERY,2013,60612
1218,009XX W NORTH AVE,HW524410,2013-11-07 12:00:00,-87.651995629,THEFT,2013,60642
1219,022XX W 54TH PL,HW525061,2013-11-07 22:15:00,-87.68106805,BATTERY,2013,60609
1220,036XX W NORTH AVE,HW525199,2013-11-08 05:30:00,-87.717383916,THEFT,2013,60647
1221,020XX W 69TH PL,HW526193,2013-11-08 19:30:00,-87.674881564,ASSAULT,2013,60636
1222,035XX W WABANSIA AVE,HW526351,2013-11-08 21:36:00,-87.71441225,ARSON,2013,60647
1223,010XX E 47TH ST,HW525918,2013-11-08 16:30:00,-87.60071921,BATTERY,2013,60615
1224,085XX W HIGGINS RD,HW527097,2013-11-04 13:00:00,-87.840319644,THEFT,2013,
1225,017XX W HOWARD ST,HW527054,2013-11-09 13:00:00,-87.675049485,THEFT,2013,
1226,0000X W 26TH ST,HW527733,2013-11-10 02:00:00,-87.62738695,BATTERY,2013,60616
1227,0000X E OHIO ST,HW528684,2013-11-10 12:30:00,-87.627443675,THEFT,2013,60611
1228,024XX W 24TH ST,HW530196,2013-11-11 08:15:00,-87.686653072,THEFT,2013,60608
1230,014XX N HALSTED ST,HW532353,2013-11-13 17:40:00,-87.648197855,THEFT,2013,60610
1231,049XX W PENSACOLA AVE,HW533312,2013-11-14 15:05:00,-87.75089183,ASSAULT,2013,60641
1232,005XX N FRANKLIN ST,HW533748,2013-11-14 18:30:00,-87.635569006,THEFT,2013,60654
1234,002XX E HURON ST,HW534551,2013-11-15 13:15:00,-87.62152816,THEFT,2013,60611
1235,012XX W 47TH ST,HW536056,2013-11-16 16:00:00,-87.655543811,ASSAULT,2013,60609
1236,040XX W 26TH ST,HW538236,2013-11-17 10:00:00,-87.724855768,BATTERY,2013,60623
1237,073XX N HARLEM AVE,HW538870,2013-11-18 11:30:00,-87.806609358,BURGLARY,2013,
1238,020XX N CICERO AVE,HW539277,2013-11-19 09:30:00,-87.7461245,ASSAULT,2013,60639
1239,034XX W OGDEN AVE,HW538910,2013-11-18 14:30:00,-87.711823722,THEFT,2013,60623
1240,017XX N DAMEN AVE,HW539953,2013-11-19 16:00:00,-87.67750843,THEFT,2013,60622
1241,031XX W PRATT BLVD,HW540104,2013-11-19 14:45:00,-87.70824091,BATTERY,2013,60645
1242,006XX W 71ST ST,HW539923,2013-11-19 15:45:00,-87.641255151,BATTERY,2013,60621
1243,038XX W SCHOOL ST,HW540300,2013-11-19 21:00:00,-87.72405852,THEFT,2013,60618
1244,015XX N MOHAWK ST,HW541563,2013-11-20 18:50:00,-87.642192166,ROBBERY,2013,60610
1245,012XX E 95TH ST,HW541508,2013-11-20 18:30:00,-87.594317141,BATTERY,2013,60628
1246,049XX S DREXEL BLVD,HW541260,2013-11-20 14:15:00,-87.603808314,ASSAULT,2013,60615
1247,036XX W CORTLAND ST,HW543704,2013-11-22 02:00:00,-87.717022669,THEFT,2013,60647
1248,023XX W 95TH ST,HW544233,2013-11-22 13:15:00,-87.680020021,THEFT,2013,60620
1249,068XX S CORNELL AVE,HW546205,2013-11-24 12:00:00,-87.58500756,ASSAULT,2013,60649
1250,022XX W 18TH ST,HW547099,2013-11-25 09:45:00,-87.681586313,BATTERY,2013,60608
1251,021XX W 71ST ST,HW547746,2013-11-25 17:25:00,-87.676236515,BATTERY,2013,60636
1252,0000X W SUPERIOR ST,HW548584,2013-11-25 14:00:00,-87.630123073,THEFT,2013,60654
1253,0000X E 112TH PL,HW549495,2013-11-26 21:00:00,-87.622000047,THEFT,2013,60628
1254,011XX N MAYFIELD AVE,HW550765,2013-11-27 22:55:00,-87.772904439,BATTERY,2013,60651
1255,068XX S ADA ST,HW552036,2013-11-27 14:30:00,-87.657890824,THEFT,2013,60636
1256,008XX E 100TH ST,HW553569,2013-11-30 18:00:00,-87.60274598,BATTERY,2013,60628
1257,006XX N DEARBORN ST,HW553889,2013-12-01 00:45:00,-87.629701805,BATTERY,2013,60654
1258,025XX N MILWAUKEE AVE,HW555125,2013-12-01 00:45:00,-87.70453554,THEFT,2013,60647
1259,003XX W ERIE ST,HW555469,2013-12-02 03:00:00,-87.637527948,THEFT,2013,60654
1260,002XX W HUBBARD ST,HW557088,2013-11-20 14:00:00,-87.634559455,THEFT,2013,60654
1261,032XX W 85TH ST,HW558369,2013-12-03 11:20:00,-87.703270432,THEFT,2013,60652
1262,015XX N MOHAWK ST,HW558614,2013-12-04 16:00:00,-87.642219371,THEFT,2013,60610
1263,035XX W 79TH ST,HW560265,2013-12-05 20:03:00,-87.711035572,BATTERY,2013,60652
1264,013XX W 79TH ST,HW560125,2013-12-05 17:00:00,-87.657993425,ASSAULT,2013,60620
1265,032XX W PALMER ST,HW561504,2013-12-06 20:15:00,-87.707275496,BATTERY,2013,60647
1266,028XX E 76TH ST,HW562014,2013-12-05 16:17:00,-87.555914162,BATTERY,2013,60649
1267,015XX W NORWOOD ST,HW563493,2013-12-08 00:00:00,-87.66823523,THEFT,2013,60660
1268,057XX N WESTERN AVE,HW564004,2013-12-09 01:16:00,-87.689505055,THEFT,2013,60659
1269,011XX N SPRINGFIELD AVE,HW564399,2013-12-09 11:50:00,-87.723826867,BATTERY,2013,60651
1270,025XX N MOZART ST,HW565621,2013-12-10 01:00:00,-87.69872094,THEFT,2013,60647
